text,label
"""الـمـطـعـم جـمـيـيـيـيـل جـداً 😋 والـخـدمـة مـمـتـازة https://food.com/best !!!""",positive
"""الجهاز زفـتتتتتت 😡 bad quality!! لا أنصح به مـطـلـقـاً @#$%""",negative
"""وزارة الـصـحـة: @@@ بـدء الـتـسـجـيـل لـلـحـمـلـة #الـجـديـدة... الـيـوم 2023""",neutral
"""الـرحـلـة كـااااانـت راااائـعـة    !!!!! ❤️ ✈️ (Best trip ever)""",positive
"""الإنـتـرنـت ضـعـيـيـيـف جـداً 📶 سـيء لـلـغـايـة @!#$%^ والـخـدمـة بـطـيـئـة""",negative
"""حـالـة الـطـقـس الـيـوم غـااااائـم جـزئـيـاً ☁️. الـتـوقـعـات هـنـا https://weather.sa""",neutral
"""الـفـلـم كـااااان AMAZING 😍🍿 تـجـربـة مـمـيّـزة وتـصـويـر رااااائع""",positive
"""الـتـوصـيـل تـأخـر كـتـيـيـيـيـرررر 📦💨 worst service ever 👎 !!!""",negative
"""الـذكـاء الاصـطـنـاعـي AI يـتـطـوّر بـشـكـل سـريـيـيـع... 🤖 تـابـعـونـا""",neutral
"""تَـطْـبِـيـق مـُفِـيـيـيـد جـداً 📲✨ شُـكـراً لـكـم!! مـمـتـاااااز""",positive
"""الأكـل بـاااااارد ❄️ وغـيـر نـظـيـف 🤢 !!! لا حـد يـطـلـب مـنـه""",negative
"""الاجـتـمـاع سـيـبـدأ الـسـاعـة 10:00 صـبـاحـاً 🕒 🏢 فـي مـقـر الـشـركـة""",neutral
"""الـدعم الـفـنـي سـاعـدني كـثـيـيـيراً 🛠️ ✅ Very helpful and fast service""",positive
"""الـسـعـر غـااااااالـي نـااااااار 🔥💰 Overpriced!!! اسـتـغـلال""",negative
"""الـمـبـاراة انـتـهـت بـالـتـعـادل 1-1 ⚽ 🥅 بـيـن الـفـريـقـيـن الـيـوم""",neutral
"""الـكِـتـابُ رائعٌ ومُـفـيـدٌ جـدّاً 📖💫 ⭐️⭐️⭐️⭐️⭐️ قـراءة مـمـتـعـة""",positive
"""الـلـعـبـة فـيـهـا بـقـز (bugs) كـتـيـيـيـيـرة 🎮🚫 اعـتـزاااااال نـهـائـي""",negative
"""بـوابـة الـمـغـادرة هـي Gate 5 ✈️... الـرجـاء الـتـوجـه هـنـاك فـوراً""",neutral
"""الـسـتـايـل يـجـنـنـنـنـنـنـن 👗✨ Perfect look! https://shop.com/style""",positive
"""الـغـرفـة قـذذذرة 🗑️ والـسـريـر غـيـر مـريـح 😴❌ !!! تـجـربـة سـيـئـة""",negative
